,date,fremont_bridge_nb,fremont_bridge_sb
0,2015-02-24 02:00:00,3,3
1,2017-01-09 06:00:00,55,28
2,2012-12-02 14:00:00,25,16
3,2016-02-15 00:00:00,3,3
4,2015-12-18 21:00:00,7,17
5,2013-02-02 19:00:00,9,18
6,2012-10-09 16:00:00,95,149
7,2015-08-06 23:00:00,18,12
8,2013-06-14 21:00:00,41,27
9,2015-03-13 01:00:00,2,6
10,2015-08-18 20:00:00,64,97
11,2017-05-12 23:00:00,6,12
12,2014-05-26 22:00:00,15,11
13,2013-01-16 21:00:00,6,18
14,2016-07-02 18:00:00,80,55
15,2015-04-02 06:00:00,72,26
16,2016-07-27 06:00:00,130,67
17,2016-08-05 23:00:00,10,19
18,2015-11-15 02:00:00,0,0
19,2013-05-19 04:00:00,1,4
20,2014-06-21 00:00:00,10,17
21,2017-05-21 15:00:00,143,108
22,2013-04-04 11:00:00,32,21
23,2015-07-30 05:00:00,20,22
24,2014-11-27 07:00:00,6,3
25,2017-02-03 12:00:00,13,10
26,2013-02-18 10:00:00,43,33
27,2015-11-29 04:00:00,0,0
28,2017-03-27 18:00:00,85,209
29,2013-03-14 03:00:00,1,1
30,2017-01-09 01:00:00,0,0
31,2015-09-04 10:00:00,50,29
32,2012-10-17 10:00:00,49,47
33,2013-06-05 20:00:00,76,113
34,2016-12-07 16:00:00,55,102
35,2017-01-04 20:00:00,10,19
36,2017-01-01 05:00:00,0,0
37,2016-10-17 13:00:00,23,19
38,2015-12-02 23:00:00,8,12
39,2014-09-26 12:00:00,37,30
40,2015-07-11 20:00:00,29,36
41,2015-12-13 03:00:00,3,1
42,2014-11-13 01:00:00,2,1
43,2014-11-23 15:00:00,53,43
44,2014-08-29 07:00:00,203,85
45,2017-05-07 12:00:00,106,92
46,2015-04-16 00:00:00,7,7
47,2013-10-02 17:00:00,141,254
48,2013-06-28 02:00:00,2,2
49,2015-09-30 15:00:00,66,84
50,2016-05-23 23:00:00,6,14
51,2017-01-26 01:00:00,0,0
52,2017-02-14 16:00:00,75,186
53,2013-05-22 03:00:00,1,0
54,2012-11-24 07:00:00,8,6
55,2014-02-09 21:00:00,3,6
56,2013-11-04 03:00:00,2,1
57,2012-11-12 06:00:00,44,19
58,2013-11-12 13:00:00,32,23
59,2017-03-04 01:00:00,3,1
60,2015-07-31 19:00:00,88,103
61,2015-07-14 08:00:00,448,190
62,2013-06-19 07:00:00,262,83
63,2016-08-15 00:00:00,2,5
64,2015-01-29 11:00:00,51,25
65,2016-08-29 08:00:00,328,207
66,2014-04-15 01:00:00,2,1
67,2012-11-04 16:00:00,46,51
68,2016-12-11 16:00:00,19,20
69,2015-08-20 04:00:00,7,2
70,2016-11-26 21:00:00,5,9
71,2016-12-05 13:00:00,14,14
72,2017-01-15 04:00:00,0,0
73,2014-02-25 03:00:00,1,0
74,2017-01-13 03:00:00,0,0
75,2017-04-11 08:00:00,283,189
76,2016-08-20 11:00:00,55,64
77,2015-07-17 20:00:00,32,66
78,2017-01-09 02:00:00,0,0
79,2012-11-20 15:00:00,25,47
80,2016-05-04 09:00:00,182,113
81,2013-08-22 13:00:00,71,62
82,2017-01-11 03:00:00,0,0
83,2015-07-31 05:00:00,25,16
84,2014-08-07 03:00:00,2,4
85,2015-08-14 19:00:00,23,40
86,2015-11-10 15:00:00,43,75
87,2012-11-02 03:00:00,3,1
88,2017-01-11 01:00:00,0,0
89,2016-11-19 00:00:00,2,12
90,2017-03-18 16:00:00,42,41
91,2013-01-18 02:00:00,2,0
92,2017-01-18 13:00:00,18,18
93,2016-07-05 06:00:00,80,32
94,2013-02-26 06:00:00,75,27
95,2015-02-07 00:00:00,6,7
96,2016-04-20 12:00:00,54,58
97,2015-08-19 05:00:00,29,20
98,2016-12-04 13:00:00,56,63
99,2016-07-25 10:00:00,65,41
100,2015-02-16 19:00:00,24,47
101,2014-09-13 04:00:00,0,5
102,2014-04-11 10:00:00,70,63
103,2013-11-28 03:00:00,0,2
104,2014-05-20 12:00:00,60,69
105,2014-11-24 00:00:00,0,2
106,2017-03-24 14:00:00,13,14
107,2015-10-19 08:00:00,297,154
108,2014-09-05 06:00:00,91,52
109,2015-04-27 06:00:00,126,40
110,2012-10-21 09:00:00,28,22
111,2017-04-12 18:00:00,69,137
112,2017-01-19 00:00:00,0,0
113,2014-01-25 21:00:00,9,5
114,2013-07-22 01:00:00,1,2
115,2014-08-02 12:00:00,90,66
116,2015-01-30 04:00:00,1,3
117,2014-08-14 17:00:00,177,420
118,2014-08-10 12:00:00,100,84
119,2013-09-06 02:00:00,5,1
120,2017-04-09 00:00:00,2,5
121,2017-04-15 13:00:00,82,82
122,2013-09-01 10:00:00,65,63
123,2016-08-14 12:00:00,104,224
124,2013-04-06 02:00:00,2,1
125,2013-12-19 20:00:00,21,28
126,2013-02-26 11:00:00,34,23
127,2015-05-08 05:00:00,26,22
128,2015-07-31 09:00:00,166,93
129,2015-09-10 19:00:00,91,149
130,2015-06-27 16:00:00,64,72
131,2016-07-14 07:00:00,288,151
132,2013-10-30 00:00:00,2,2
133,2013-10-10 10:00:00,77,46
134,2014-11-10 12:00:00,15,65
135,2015-03-13 09:00:00,183,0
136,2014-03-12 21:00:00,27,36
137,2013-05-30 13:00:00,43,52
138,2013-10-15 01:00:00,2,3
139,2013-10-22 17:00:00,164,366
140,2017-05-23 06:00:00,154,87
141,2016-09-14 14:00:00,47,64
142,2017-03-30 13:00:00,31,45
143,2014-03-16 03:00:00,1,1
144,2015-11-16 00:00:00,4,4
145,2015-07-05 07:00:00,44,26
146,2012-11-28 11:00:00,24,22
147,2016-04-27 15:00:00,61,66
148,2015-09-25 17:00:00,127,305
149,2015-05-22 21:00:00,20,37
150,2015-02-07 18:00:00,20,20
151,2013-05-07 15:00:00,106,98
152,2014-06-29 21:00:00,16,28
153,2013-07-26 18:00:00,152,191
154,2014-12-13 20:00:00,7,13
155,2015-09-28 11:00:00,37,39
156,2017-01-06 11:00:00,15,22
157,2014-03-28 08:00:00,123,47
158,2015-08-23 19:00:00,34,37
159,2017-04-02 01:00:00,0,2
160,2015-04-17 09:00:00,171,106
161,2016-12-03 16:00:00,49,25
162,2014-05-17 19:00:00,59,35
163,2016-02-19 17:00:00,69,176
164,2015-08-20 13:00:00,57,53
165,2014-05-03 02:00:00,2,3
166,2016-05-28 01:00:00,2,4
167,2014-04-08 13:00:00,38,35
168,2014-09-06 15:00:00,115,96
169,2016-01-09 06:00:00,4,5
170,2017-03-30 03:00:00,0,1
171,2014-04-29 13:00:00,81,43
172,2013-11-15 11:00:00,33,23
173,2014-05-30 14:00:00,91,93
174,2014-06-26 12:00:00,68,58
175,2014-10-15 03:00:00,2,2
176,2017-04-17 10:00:00,52,48
177,2015-03-28 00:00:00,6,7
178,2016-05-18 19:00:00,75,125
179,2014-02-12 18:00:00,83,192
180,2016-04-21 12:00:00,49,39
181,2014-11-19 13:00:00,0,56
182,2016-10-10 05:00:00,20,10
183,2016-01-23 17:00:00,15,15
184,2014-08-26 15:00:00,78,116
185,2013-10-29 13:00:00,98,18
186,2014-05-10 23:00:00,11,17
187,2017-05-27 03:00:00,2,2
188,2016-11-30 05:00:00,22,6
